apt_name,apt_address,apt_coordinates,apt_score,university_name,university_coordinates,university_score,supermarket_name,supermarket_coordinates,supermarket_score,gas_station_name,gas_station_coordinates,gas_station_score,gym_name,gym_coordinates,gym_score,subway_station_name,subway_station_coordinates,subway_station_score,bus_station_name,bus_station_coordinates,bus_station_score,drugstore_name,drugstore_coordinates,drugstore_score,pharmacy_name,pharmacy_coordinates,pharmacy_score,convenience_store_name,convenience_store_coordinates,convenience_store_score,restaurant_name,restaurant_coordinates,restaurant_score,police_name,police_coordinates,police_score,park_name,park_coordinates,park_score,cafe_name,cafe_coordinates,cafe_score,bank_name,bank_coordinates,bank_score
Cortland Oleander,10 Executive Park W Atlanta GA 30329,"(33.8259566, -84.3362952)",0.0,Emory University School of Medicine,"(33.8278773, -84.3423287)",1.0950017958906703e-05,Publix Super Market at Cheshire Square,"(33.818479, -84.34902129999999)",0.0031057779308941505,Shell,"(33.8244506, -84.33456919999999)",0.0,Athletic Club Northeast,"(33.8237886, -84.337858)",0.0,None,None,nan,Lavista Rd NE & Briarcliff Rd NE,"(33.815615, -84.334896)",0.0,Walgreens,"(33.8282941, -84.32993080000001)",0.0,CVS Pharmacy,"(33.8283815, -84.32439579999999)",0.0,Walgreens,"(33.8282941, -84.32993080000001)",0.0,Mellow Mushroom Atlanta - Emory,"(33.816166, -84.332824)",0.0,None,None,nan,Historic Preservation Division- Georgia Department of Natural Resources,"(33.82685819999999, -84.3425348)",1.2940930315071557e-05,Cafe Bombay,"(33.8284201, -84.32701709999999)",0.0,Navy Federal Credit Union,"(33.82683060000001, -84.3327016)",0.0
Avana Dunwoody,10 Gentrys Walk Atlanta GA 30341,"(33.9151662, -84.3003863)",0.0,John Casablancas Center,"(33.9213453, -84.3102282)",0.0,H Mart Doraville,"(33.9080556, -84.28805559999999)",0.0,bp,"(33.92204379999999, -84.31389999999999)",0.0,SWEET SCIENCE FITNESS BOXING CLUB,"(33.9080261, -84.2879694)",0.0,None,None,nan,None,None,nan,CVS,"(33.9058056, -84.2952167)",0.0,CVS Pharmacy,"(33.9058169, -84.29522899999999)",0.0,bp,"(33.92204379999999, -84.31389999999999)",0.0,Bowlmor Atlanta,"(33.9190815, -84.2991584)",0.0,None,None,nan,Park at Pernoshal Court,"(33.9265057, -84.3078264)",0.0,Sterling Spoon Culinary Management,"(33.921066, -84.31722119999999)",0.0,Bank of America Financial Center,"(33.924588, -84.3142228)",0.0
10 Perimeter Park,10 Perimeter Park Dr Atlanta GA 30341,"(33.918275, -84.29454899999999)",0.0,John Casablancas Center,"(33.9213453, -84.3102282)",0.0,H Mart Doraville,"(33.9080556, -84.28805559999999)",0.0,Shell,"(33.9189088, -84.2968887)",0.0,SWEET SCIENCE FITNESS BOXING CLUB,"(33.9080261, -84.2879694)",0.0,None,None,nan,None,None,nan,CVS,"(33.9058056, -84.2952167)",0.0,CVS Pharmacy,"(33.9058169, -84.29522899999999)",0.0,Shell,"(33.9189088, -84.2968887)",0.0,Oasis Goodtime Emporium,"(33.9214812, -84.28156969999999)",0.0,None,None,nan,Park at Pernoshal Court,"(33.9265057, -84.3078264)",0.0,Starbucks,"(33.921432, -84.314746)",0.0,Bank of America Financial Center,"(33.924588, -84.3142228)",0.0
SkyHouse South,100 6th St Atlanta GA 30308,"(33.77791, -84.3829257)",0.5431152104590213,Georgia Institute of Technology,"(33.77561779999999, -84.39628499999999)",0.20016595958384983,Trader Joe's,"(33.7796552, -84.36791029999999)",0.05810240547416838,Boulevard Food Mart,"(33.7643807, -84.37236419999999)",0.071030100087431,LA Fitness,"(33.77744300000001, -84.38912309999999)",0.08637162298503538,Midtown,"(33.7811167, -84.38634789999999)",0.182340092968408,Midtown Station,"(33.78111, -84.386697)",0.12475901097838442,Walgreens,"(33.7707331, -84.3812556)",0.1200466239191152,"Vincent M. Poteet, PharmD","(33.7684926, -84.38611739999999)",0.2560804720450003,Walgreens,"(33.7707331, -84.3812556)",0.1200466239191152,Hyatt Regency Atlanta,"(33.7613755, -84.38735559999999)",0.340068809638559,POST #1,"(33.7645868, -84.3919418)",0.19793786644202002,Atlanta Botanical Garden,"(33.790468, -84.3736193)",0.17453450665114476,Barnes & Noble at Georgia Tech,"(33.7766667, -84.38861109999999)",0.08637162298503538,"SBA Direct Loans, LLC","(33.7869047, -84.3826649)",0.14478576510097207
The Drexel Collective,100 Drexel Pt Atlanta GA 30346,"(33.9260411, -84.32880019999999)",0.0,John Casablancas Center,"(33.9213453, -84.3102282)",0.0,Target Grocery,"(33.9308157, -84.3416149)",0.0,bp,"(33.92204379999999, -84.31389999999999)",0.0,Executive Heart,"(33.9218274, -84.3359333)",0.0,Dunwoody,"(33.9212654, -84.34435669999999)",0.0,Dunwoody,"(33.9212654, -84.34435669999999)",0.0,Walmart Pharmacy,"(33.9331393, -84.33326339999999)",0.0,"Ruaa N. Al-Baldawi, PharmD","(33.93094839999999, -84.34139979999999)",0.0,bp,"(33.92204379999999, -84.31389999999999)",0.0,McKendrick's Steak House,"(33.9244523, -84.33540819999999)",0.0,MARTA Police Department- North Precinct,"(33.9220048, -84.3445974)",0.0,Murphey Candler Park,"(33.9126348, -84.324378)",0.0,Barnes & Noble,"(33.92625, -84.34331159999999)",0.0,SunTrust,"(33.9275556, -84.3428993)",0.0
Evergreen Lenox Park,100 Lenox Park Cir NE Atlanta GA 30319,"(33.8474468, -84.3480054)",0.00198624859094948,American College of Rheumatology,"(33.84862010000001, -84.34681049999999)",0.0002105821025917671,Publix Super Market at Lenox Marketplace,"(33.8509984, -84.3597748)",0.005434414053035582,Total Breakthrough Center,"(33.8467351, -84.3588468)",0.004862305565656185,BUCKHEAD FITNESS BOOT CAMP,"(33.84912319999999, -84.3473788)",0.00038606718808490635,Lenox,"(33.8451145, -84.35867139999999)",0.004290197078276786,Brookhaven/Oglethorpe Station,"(33.86025, -84.339147)",0.0012283955984519737,CVS,"(33.8533444, -84.3586985)",0.0060065225404149795,Kroger Pharmacy,"(33.85642, -84.34468299999999)",0.0012283955984519737,CVS,"(33.8533444, -84.3586985)",0.0060065225404149795,Maggiano's Little Italy,"(33.84832859999999, -84.3674279)",0.004825422054931097,Atlanta Police Department Lenox Mall Mini Precinct,"(33.8461774, -84.3615644)",0.004252758984419255,Briarwood Park,"(33.85007179999999, -84.3286876)",0.0012283955984519737,Highland Bakery Buckhead,"(33.84750330000001, -84.3668579)",0.005359907587408817,Bank of America Financial Center,"(33.8502328, -84.3640217)",0.0045581792886922375
Mariposa Lofts,100 Montag Cir Atlanta GA 30307,"(33.7607536, -84.3616485)",0.26439951078762114,Physician's Education Group,"(33.7623748, -84.37149289999999)",0.14088103004604413,Whole Foods Market,"(33.7752338, -84.3658288)",0.16801402064817153,Boulevard Food Mart,"(33.7643807, -84.37236419999999)",0.1323674548104835,X3 Sports - Inman Park,"(33.76208309999999, -84.35991419999999)",0.0666463505309051,King Memorial Transit Station,"(33.7499506, -84.3755863)",0.2235851280491543,Inman Park/Reynoldstown Station - North Loop,"(33.757726, -84.353409)",0.17600475169914315,CVS,"(33.7737168, -84.3652949)",0.15708623676304284,"Rhonda L. Martin, PharmD","(33.7628483, -84.3730977)",0.1461756985048128,Savi Provisions,"(33.7623383, -84.3577923)",0.09839556377329679,The Vortex,"(33.7662559, -84.3492199)",0.14893015550825045,AK Security Services,"(33.761674, -84.35974999999999)",0.05844672021646371,"Martin Luther King, Jr. National Historical Park","(33.7572984, -84.3735856)",0.1510552146271861,Barnes & Noble,"(33.7577778, -84.34888889999999)",0.1896027805143074,Wells Fargo Bank,"(33.77406080000001, -84.36583019999999)",0.1650692812186312
Lakeshore Crossing,100 NE Lakeshore Dr Atlanta GA 30324,"(33.8159933, -84.3649793)",0.22233291518447296,The Creative Circus,"(33.81304599999999, -84.36177599999999)",0.23111252024851073,Publix Super Market at Ansley Mall,"(33.7990623, -84.3718066)",0.1633879692118243,QuikTrip,"(33.82519639999999, -84.3622243)",0.13187631965682614,Atlanta Kick,"(33.83178669999999, -84.3624916)",0.16535267276442023,Lindbergh Center Transit Station,"(33.8231777, -84.3693878)",0.10214420098053485,Lindbergh Station - South Loop/Lindbergh Dr,"(33.82136550000001, -84.3690386)",0.08250108540735507,CVS,"(33.81941679999999, -84.3517813)",0.1272542495692014,CVS Pharmacy,"(33.8240175, -84.3634115)",0.11785869343907868,QuikTrip,"(33.82519639999999, -84.3622243)",0.13187631965682614,SweetWater Brewing Company,"(33.8087194, -84.3801857)",0.14712583409028798,Marta Police Department,"(33.8199444, -84.3680925)",0.11785869343907868,James Hurley Design,"(33.8110632, -84.36642499999999)",0.31255738362693436,McDonald's,"(33.8199047, -84.3518391)",0.13020837293257392,Bank of America Financial Center,"(33.8262661, -84.366568)",0.10990925286814021
Collier Ridge,100 Noble Creek Dr Atlanta GA 30327,"(33.8143232, -84.4244954)",0.013075252886764085,Beyond Education University,"(33.803882, -84.435037)",0.02179345393389273,Publix Super Market at Howell Mill Village,"(33.81024190000001, -84.41469699999999)",0.017865350539212024,bp,"(33.8006312, -84.4257646)",0.03223113837664347,Bangkok Boxing Fitness,"(33.8118892, -84.4205736)",0.010165748916814115,None,None,nan,Procierge,"(33.7991808, -84.43233359999999)",0.04910677156381344,Walmart Pharmacy,"(33.803135, -84.41160359999999)",0.05132568262516239,Kroger Pharmacy,"(33.8020766, -84.41283310000001)",0.06379168760048422,Shell,"(33.81367969999999, -84.426182)",0.0023103974810941195,Nuevo Laredo Cantina,"(33.80944949999999, -84.4367817)",0.009184923032294342,None,None,nan,Atlantis Hydroponics,"(33.8031858, -84.4342021)",0.02574607737697002,Starbucks,"(33.80423, -84.412846)",0.04135287864490493,Chase Bank,"(33.809726, -84.4132348)",0.017865350539212024
Parkway Vista Apartments,100 Parkway Cir S Atlanta GA 30340,"(33.9022989, -84.2379108)",0.0,Stephenson Equipment Co,"(33.899166, -84.25295899999999)",0.0,None,None,nan,QuikTrip,"(33.9025217, -84.2456241)",0.0,Ultimate 48 PERFORMANCE,"(33.8914217, -84.2547632)",0.0,None,None,nan,None,None,nan,None,None,nan,None,None,nan,QuikTrip,"(33.9025217, -84.2456241)",0.0,Subway,"(33.898924, -84.2514456)",0.0,STOP Inc.,"(33.9002922, -84.2426972)",0.0,Pleasantdale Park,"(33.8921787, -84.2327816)",0.0,MILKTEA FLAVOUR,"(33.9062921, -84.2215578)",0.0,None,None,nan
